state,electors
District of Columbia,3
Vermont,3
Massachusetts,11
Maryland,10
Hawaii,4
California,54
New York,28
Maine CD-1,1
Rhode Island,4
Connecticut,7
Washington,12
Delaware,3
Illinois,19
New Jersey,14
Oregon,8
Colorado,10
New Mexico,5
Virginia,13
Maine,2
Minnesota,10
New Hampshire,4
Nebraska CD-2,1
Nevada,6
Michigan,15
Pennsylvania,19
Wisconsin,10
Arizona,11
Georgia,16
North Carolina,16
Florida,30
Texas,40
Ohio,17
Maine CD-2,1
Iowa,6
Alaska,3
South Carolina,9
Kansas,6
Missouri,10
Nebraska CD-1,1
Indiana,11
Mississippi,6
Montana,4
Louisiana,8
Utah,6
Nebraska,2
Tennessee,11
Alabama,9
Kentucky,8
South Dakota,3
Arkansas,6
Idaho,4
Oklahoma,7
North Dakota,3
West Virginia,4
Wyoming,3
Nebraska CD-3,1